date,abrupt,gradual
2025-04-19,78.52783062,53.51731602
2025-04-20,80.47331038,59.54365079
2025-04-21,79.15757258,70.94155844
2025-04-22,82.1721731,69.72727273
2025-04-23,79.34036011,67.71404521
2025-04-24,81.39378022,65.13077201
2025-04-25,81.66629255,82.42424242
2025-04-26,81.515936,80.00766595
2025-04-27,80.48282477,77.60822511
2025-04-28,80.25088623,74.74025974
2025-04-29,79.63711009,79.94949495
2025-04-30,78.58826699,85.51154401
2025-05-01,79.71539912,82.9978355
2025-05-02,79.24617409,80.51767677
2025-05-03,53.34284467,90.46536797
2025-05-04,29.62302773,91.98593074
2025-05-05,5.441755163,89.76551227
2025-05-06,3.767285066,87.59018759
2025-05-07,4.991033295,86.52597403
2025-05-08,3.233745334,92.37012987
2025-05-09,4.019646523,90.94877345
2025-05-10,4.230861541,88.40367965
2025-05-11,4.214574424,87.5
2025-05-12,5.301666089,87.82467532
2025-05-13,5.323265,85.72510823
2025-05-14,5.547395078,86.8975469
2025-05-15,5.674582273,85.8008658
2025-05-16,4.873686482,77.19155844
2025-05-17,7.09253571,76.34199134
2025-05-18,5.435890856,78.40909091
2025-05-19,4.663736921,66.58549784
2025-05-20,5.089203914,62.04274892
2025-05-21,6.010593989,61.34559885
2025-05-22,5.506333576,63.75108225
2025-05-23,3.685948972,67.16450216
2025-05-24,5.547425345,55.93434343
2025-05-25,5.602851644,53.40909091
2025-05-26,5.320947526,55.33008658
2025-05-27,4.443958761,58.58946609
2025-05-28,6.727115971,59.35064935
2025-05-29,7.028125844,36.2012987
2025-05-30,5.117694167,37.69155844
2025-05-31,4.391290029,41.23376623
2025-06-01,4.194074346,45.67550505
2025-06-02,4.947235466,25.81168831
2025-06-03,5.004142404,26.9619666
2025-06-04,5.236481295,28.75747269
2025-06-05,4.450211625,30.94737053
2025-06-06,5.823033683,33.21669072
2025-06-07,5.577488804,23.65349928
2025-06-08,6.996447919,24.81511544
2025-06-09,4.475065292,26.77895022
2025-06-10,5.368857362,29.13059163
2025-06-11,3.721726308,24.83345358
2025-06-12,4.230881703,20.29220779
2025-06-13,6.106986764,21.18145743
2025-06-14,3.709666836,23.26479076
2025-06-15,5.154383966,26.35281385
2025-06-16,5.948429053,20.76839827
2025-06-17,5.211720375,17.69480519
2025-06-18,5.076041211,18.32972583
2025-06-19,4.454030579,22.00877826
2025-06-20,4.367141764,24.71139971
2025-06-21,4.191755089,18.46590909
2025-06-22,4.422319533,18.17580568
2025-06-23,7.145247441,21.02453102
2025-06-24,4.760840064,23.84199134
2025-06-25,3.122786776,22.36652237
2025-06-26,4.718724733,20.61688312
2025-06-27,4.242064513,20.97808442
2025-06-28,6.012296046,22.44949495
2025-06-29,4.603068098,23.48665224
2025-06-30,4.43510524,22.24025974
